actorId,movieId
15766,1
18107,1
14838,1
12086,1
14163,2
18474,2
18473,2
18472,2
11479,3
11989,3
11332,3
11568,3
17108,4
18693,4
16863,4
18692,4
13908,5
16921,5
13054,5
15627,5
13024,6
13100,6
15062,6
12672,6
17362,7
13694,7
18615,7
18614,7
17994,8
18221,8
17210,8
17960,8
15708,9
14418,9
16323,9
17949,9
15546,10
18409,10
17262,10
18408,10
13097,11
15084,11
13723,11
16107,11
14291,12
11413,12
17296,12
17640,12
14487,13
14132,13
17995,13
16524,13
14351,14
12572,14
14418,14
15511,14
15449,15
12812,15
14769,15
14886,15
13100,16
14172,16
15202,16
13940,16
17905,17
17923,17
18083,17
18625,17
18394,18
16035,18
15130,18
18393,18
15244,19
18212,19
17906,19
18213,19
16725,20
12481,20
16894,20
18554,20
14801,21
12428,21
16996,21
13675,21
13856,22
15717,22
16866,22
17827,22
13300,23
18249,23
15516,23
17170,23
13992,24
13786,24
14385,24
18605,24
14810,25
14942,25
14951,25
17639,25
16901,26
16239,26
16406,26
18581,26
14853,27
18576,27
17356,27
18405,27
18590,28
15551,28
18591,28
18592,28
14334,29
18332,29
18331,29
16889,29
28248,30
32552,30
18714,30
18715,30
14526,31
18352,31
15544,31
17348,31
15706,32
18671,32
18672,32
18670,32
17007,34
18253,34
17213,34
18254,34
16909,35
17182,35
18312,35
14783,35
13258,36
16323,36
14689,36
14421,36
18217,37
18214,37
18215,37
18216,37
15022,38
14485,38
18457,38
18458,38
17432,39
18337,39
18336,39
18335,39
14268,40
18344,40
11930,40
17082,40
16525,41
16698,41
16107,41
15859,41
17573,42
18355,42
18354,42
15557,42
14305,43
17595,43
15859,43
17679,43
14924,44
18557,44
18556,44
17638,44
18658,45
13945,45
18659,45
16350,45
11440,46
16403,46
14150,46
14935,46
16063,47
17142,47
18622,47
18623,47
13919,48
18132,48
15088,48
18602,48
17401,49
18704,49
18706,49
18703,49
15460,50
16030,50
18644,50
17822,50
12708,52
17806,52
18537,52
18539,52
17896,53
17988,53
17987,53
17986,53
18277,54
18278,54
14485,54
14113,54
14510,55
17030,55
16463,55
18404,55
15717,57
13185,57
15859,57
11440,57
11803,58
18077,58
18076,58
18075,58
18340,59
18341,59
17219,59
16423,59
18454,60
18455,60
14994,60
16151,60
13683,61
14351,61
18829,61
18830,61
18558,62
15870,62
15893,62
13093,62
18814,63
18813,63
18812,63
18811,63
17532,64
16964,64
19162,64
13144,64
13319,65
18755,65
18756,65
18757,65
17044,66
16412,66
18974,66
18041,66
18403,68
18402,68
17918,68
16827,68
16489,69
17563,69
18354,69
18399,69
16218,70
18361,70
12611,70
16477,70
16648,71
16907,71
15274,71
18379,71
17350,72
18479,72
18477,72
18478,72
11702,73
18551,73
18552,73
18553,73
15534,74
15383,74
15173,74
18745,74
14623,76
18621,76
17433,76
18620,76
32061,77
