directorId,movieId
9833,8423
9840,25737
9848,25764
9848,83322
9848,83359
9848,83096
9848,8275
9848,25769
9848,83411
9848,7074
9848,8609
9848,83361
9848,3022
9848,3140
9848,25750
9848,83318
9848,3232
9848,3133
9851,83318
9852,3140
9852,8522
9852,83411
9852,83361
9852,83359
9852,3929
9852,83096
9852,83322
9852,25874
9918,25755
9930,7074
9991,2102
10110,144172
10146,7013
10156,6446
10156,32174
10156,4042
10242,47092
10242,31109
10242,3121
10258,7086
10285,25753
10407,7697
10407,25901
10407,1941
10456,5003
10488,25916
10511,8828
10551,36535
10638,1248
10638,6460
10638,923
10638,25927
10638,25940
10638,5177
10638,2848
10655,8675
10666,899
10666,3606
10666,6732
10666,8999
10723,69945
10748,4324
10793,7013
10911,5864
10959,2136
10959,8986
10975,2533
10975,2789
10975,78967
10987,5063
10991,5250
10991,26686
11041,72880
11155,3089
11155,4424
11155,6611
11178,5799
11178,31737
11178,59832
11178,3801
11178,3678
11178,942
11178,5085
11187,26171
11187,7209
11187,7206
11319,2286
11339,8821
11415,2903
11521,2346
11521,6416
11521,3612
11527,957
11549,90531
11549,64197
11549,105844
11553,3069
11553,57418
11668,7088
11745,2747
12011,6345
12011,534
12011,1398
12011,7980
12011,4095
12011,1293
12011,44911
12035,3377
12035,25911
12035,7571
12035,4768
12035,8236
12035,25972
12035,5017
12035,5169
12035,2010
12035,1260
12035,6515
12035,25825
12035,25904
12035,8670
12056,8903
12056,3141
12083,2820
12099,4515
12099,51044
12100,51044
12101,51044
12109,7071
12109,702
12109,5179
12109,7126
12113,1883
12113,2616
12113,2929
12113,2779
12134,63062
12134,1711
12134,3508
12134,3827
12134,105
12134,114662
12134,64614
12134,6078
12134,6084
12134,2401
12134,6870
12134,4957
12134,2561
12134,4803
12134,1459
12134,50068
12134,507
12134,72733
12134,6812
12134,5506
12134,30707
12134,81512
12134,1266
12134,4479
12134,2476
12134,3834
12134,4947
12134,48783
12134,2921
12134,90719
12201,48061
12201,60487
12201,7790
12201,26133
12204,76054
12204,6299
12274,3807
12282,5354
12282,2736
12282,2870
12282,3507
12329,443
12329,2984
12329,3653
12362,26157
12379,1463
12379,2111
12379,4293
12379,8610
12379,445
12379,5214
12379,2109
12379,2110
12379,7026
12417,3100
12417,300
12417,1727
12417,88950
12417,4523
12417,99741
12417,3978
12417,55946
12417,1956
12440,64990
12463,99220
12486,6257
12518,564
12518,3168
12518,4488
12518,3765
12548,6427
12558,3528
12558,1353
12558,5012
12591,6039
12591,2786
12625,4201
12625,5854
12647,7136
12647,39941
12647,31963
12647,2731
12647,4840
12647,6305
12647,7135
12647,2732
12647,6271
12647,4712
12647,26346
12649,4526
12649,4205
12649,691
12649,276
12649,2375
12649,4521
12649,921
12649,489
12649,6814
12669,2383
12708,6993
12708,4733
12708,1057
12708,2356
12708,3814
12708,7983
12708,1077
12708,3812
12708,2290
12708,2065
12708,6100
12708,95201
12708,69604
12708,1963
12708,4392
12708,4628
12708,60950
12708,52
12708,113225
12708,3813
12708,103980
12708,3129
12708,80864
12708,2750
12708,5348
12708,5339
12708,4409
12708,139415
12708,492
12708,41285
12708,46967
12708,32291
12708,86882
12708,1701
12708,1078
12708,1230
12708,3618
12708,1244
12708,348
12708,7934
12708,2973
12708,6584
12807,1694
12828,1079
12829,6807
12829,4467
12829,109187
12829,3108
12829,2968
12829,4911
12829,1199
12829,1136
12829,47465
12829,32
12829,36401
12829,1884
12829,69951
12837,3957
12856,26574
12856,6415
12856,775
12856,2351
12856,8154
12856,1251
12856,129191
12856,6404
12856,7234
12856,7089
12856,4282
12856,8848
12856,7067
12856,2897
12914,2962
12944,4441
12944,4444
12950,4658
12950,26258
12950,26326
12950,26164
12953,265
12953,207
12967,1349
12982,810
12982,3442
12982,3270
12982,3698
12982,414
13024,1050
13042,5101
13054,205
13054,3299
13081,145307
13081,69654
13081,7017
13081,809
13094,163949
13094,64620
13094,3259
13094,6950
13094,3526
13094,150
13094,104913
13094,2100
13094,2518
13094,2567
13094,68554
13094,83910
13094,2193
13094,3107
13094,33660
13094,3988
13094,2407
13094,2374
13094,371
13094,4995
13094,45447
13094,832
13096,33558
13096,2464
13096,91886
13096,1592
13100,428
13100,49822
13148,1124
13148,5161
13148,3109
13148,6735
13148,4290
13237,5796
13237,1303
13237,7948
13237,913
13237,4428
13237,3685
13237,1254
13237,6450
13237,4039
13237,6461
13237,5986
13237,969
13237,3364
13237,3334
13237,7946
13237,7583
13237,7944
13237,4098
13237,5915
13237,970
13237,7947
13266,26322
13271,26323
13271,5768
13300,2409
13300,79695
13300,49651
13300,5694
13300,2410
13300,2411
13300,57528
13314,401
13333,50912
13371,1373
13381,69241
13381,32797
13381,81054
13381,6121
13381,6126
13381,5473
13381,31522
13381,31524
13381,6509
13382,76303
13399,1202
13399,91128
13399,3557
13399,4605
13448,2069
13480,86852
13480,57
13480,157200
13480,4787
13509,104662
13535,70927
13535,42900
13535,90430
13535,5995
13535,7069
13535,347
13535,8928
13535,3355
13535,109161
13535,37736
13535,229
13535,2160
13535,4506
13535,6858
13535,3075
13535,1252
13535,74545
13535,6530
13535,8923
13541,2779
13625,3622
13625,3033
13625,2300
13625,26386
13625,6203
13625,1278
13625,520
13625,12
13625,2301
13625,3671
13649,2463
13649,5500
13649,2791
13649,6888
13649,3868
13649,44972
13649,2060
13649,3869
13745,85213
13745,41863
13820,5581
13820,5745
13820,31000
13830,27032
13830,7108
13830,5243
13830,6095
13830,2880
13830,42946
13830,26547
13830,2879
13834,48159
13837,4089
13838,1194
13838,4415
13838,4834
13838,5428
13852,2265
13872,5102
13882,439
13882,3272
13882,426
13882,2892
13882,1114
13882,152
13882,7764
13882,1785
13919,110
13919,491
13919,7318
13919,48304
13926,7028
13930,3397
13930,2140
13930,1967
13931,2140
13931,2746
13931,3398
13931,2770
13931,60
13931,4448
13931,8373
13931,1614
13931,6999
13931,53956
13931,3809
13931,4499
13956,2829
13956,3358
13956,4276
13956,1414
13956,4197
13956,42740
13985,1375
13985,3449
13985,5308
13985,1376
14022,2926
14022,2282
14022,532
14022,3858
14022,8872
14022,26680
14022,2361
14022,7920
14022,5780
14022,4863
14032,2552
14033,5357
14035,6830
14035,3628
14035,3737
14086,893
14086,7025
14086,6892
14086,3457
14121,30898
14121,5053
14121,51931
14135,143377
14206,67504
14206,60333
14206,5059
14206,31549
14206,8267
14206,31547
14206,5056
14206,44671
14206,7063
14206,73572
14206,5121
14206,620
14206,85394
14206,3202
14206,53550
14206,5615
14206,70488
14206,5489
14206,34542
14206,66019
14206,2970
14206,72405
14206,3002
14227,100083
14227,2316
14227,1541
14253,51044
14284,8827
14345,164979
14349,4149
14349,59900
14349,1431
14349,54004
14349,6014
14349,85367
14349,2694
14349,79134
14349,90890
14349,104218
14349,44840
14349,2798
14349,104
14351,4017
14353,8225
14420,2795
14420,5900
14420,69436
14420,3552
14420,719
14420,40959
14420,1265
14420,3968
14420,2539
14420,312
14421,7789
14421,78
14421,4056
14421,55247
14444,72308
14444,6022
14447,4602
14463,7932
14487,1531
14495,5940
14495,7991
14495,8927
14495,4660
14498,66427
14510,4345
14538,83086
14549,343
14549,136592
14572,3961
14668,1858
14687,49528
14687,4372
14687,101884
14687,5524
14687,37853
14691,71668
14791,5650
14791,4592
14792,5650
14795,57910
14801,6763
14801,6997
14801,837
14801,4333
14801,4681
14801,5265
14838,1042
14838,87522
14870,4079
14870,219
14904,71518
14934,1397
14950,6335
14986,3062
15009,49280
15009,2260
15009,5438
15033,7186
15043,833
15043,6811
15044,4849
15050,1259
15050,6493
15050,11
15050,42007
15050,6636
15050,1197
15050,1401
15050,80586
15050,2268
15050,3499
15050,2961
15050,1307
15050,112749
15050,1288
15050,56587
15050,505
15074,7358
15076,590
15076,1726
15076,6617
15079,112582
15079,1442
15079,89337
15079,6269
15079,246
15083,38994
15113,107382
15141,5315
15236,100326
15340,5294
15340,37739
15342,6105
15354,487
15369,141886
15369,79469
15369,80717
15369,148372
15369,153584
15369,107649
15369,64660
15387,48744
15387,4642
15399,54768
15400,138546
15435,2324
15435,48032
15435,26732
15482,1171
15482,36
15482,3145
15496,3029
15516,2977
15558,4
15558,1888
15578,104129
