movieId,sim_movieId,relevance
1,4886,0.978072478267338
1,3114,0.976056340073376
1,2294,0.942616104801314
1,4016,0.928749995058244
1,78499,0.921768858709499
2,1009,0.907362090292363
2,2399,0.901789399951814
2,56915,0.90087644077542
2,41566,0.900502803691325
2,2043,0.896349112610833
3,5309,0.930364049609699
3,4471,0.929612349673827
3,4621,0.927470577484918
3,7701,0.917047260937789
3,1632,0.912203843534602
4,66203,0.933094026589175
4,1353,0.927710056425466
4,6765,0.926870003560347
4,7149,0.922498015269103
4,55451,0.920795285538269
5,6944,0.942420150149825
5,30825,0.908634410617149
5,4003,0.904598636202332
5,934,0.901677916593263
5,106540,0.900788460826911
6,1953,0.939009893920721
6,4855,0.93772379979517
6,110501,0.930614924121722
6,90600,0.92396462313887
6,2278,0.921291393409932
7,915,0.943881393289146
7,2424,0.936455196109769
7,8623,0.935044207180554
7,237,0.934363838872344
7,1541,0.931180287882195
8,828,0.92740320548046
8,6405,0.898869827281274
8,1017,0.895679501361076
8,2056,0.894402670390588
8,754,0.890602038192379
9,204,0.939082304592282
9,1497,0.909809710499058
9,4200,0.908364961004749
9,4387,0.9032894849491
9,7376,0.898395564112384
10,1722,0.979498480706219
10,3082,0.975450090278984
10,4005,0.969658130257172
10,3635,0.969283988556131
10,2989,0.968816129503899
11,539,0.92626520644234
11,58047,0.916926442903904
11,7149,0.916328490414587
11,361,0.913556057155538
11,55267,0.908367594081305
12,6888,0.930800481585014
12,44972,0.918925896073615
12,7319,0.908726790143459
12,3785,0.906969026519818
12,2163,0.904205537848301
13,2085,0.934880161231656
13,6889,0.931435834837422
13,2089,0.914076372798987
13,3615,0.906199896864707
13,5109,0.899694852354817
14,62437,0.949342111298402
14,64620,0.948119760693783
14,93498,0.937636847056593
14,59810,0.936409716401877
14,118700,0.930116670088972
15,8167,0.876411980123275
15,552,0.846020404843044
15,940,0.837665714586856
15,4756,0.837420165912557
15,25962,0.835194275649187
16,1213,0.970284343180536
16,431,0.960031657487689
16,1466,0.955069205160276
16,25788,0.943975122101524
16,4378,0.939277306625574
17,40629,0.974182431607742
17,28,0.971452311161696
17,7669,0.970451225406465
17,1296,0.957958832451083
17,74508,0.955684386406538
18,4452,0.927095633109552
18,1503,0.91970962503835
18,3324,0.915920323740068
18,4267,0.915168979638308
18,3613,0.914570982615757
19,344,0.955314331094314
19,116977,0.954069799381837
19,107348,0.953672201624007
19,3869,0.953228868437481
19,3146,0.938245705877196
20,145,0.923540678107279
20,1432,0.923393246017599
20,7007,0.905300985263965
20,5027,0.897891123243582
20,5628,0.890863411863718
21,4011,0.935073816452936
21,2542,0.933477434853534
21,52606,0.918536645782372
21,54331,0.894653234822986
21,8689,0.883828309535439
22,1620,0.908594987607108
22,5506,0.896734900343243
22,4383,0.883167947104089
22,53207,0.882234380174216
22,52604,0.881557175844839
23,61465,0.932874241394979
23,1769,0.932218543519132
23,1792,0.922129877664522
23,2278,0.919221884184643
23,133195,0.918988180542365
24,112804,0.885918870070414
24,1584,0.885385109136923
24,8147,0.882918315541003
24,55908,0.882249684478007
24,113378,0.859507369871869
25,78039,0.934169718502423
25,27727,0.931904969820085
25,73023,0.930462246878639
25,2858,0.926403067197473
25,5015,0.925032166820272
26,3723,0.973289560816803
26,30850,0.946152188729704
26,1941,0.931872033445173
26,211,0.928141866472583
26,2820,0.927663674041735
27,7059,0.877122521041652
27,917,0.875272689542888
27,3189,0.870847353183133
27,262,0.852370115585557
27,5099,0.85182491784512
28,7669,0.974070116505469
28,17,0.971452311161696
28,40629,0.967884459167228
28,74508,0.963762574599109
28,1296,0.959120636641154
29,7123,0.829553609625925
29,59387,0.805298596323564
29,7099,0.802812460797326
29,2173,0.801725406458219
29,6790,0.799299998903676
30,1227,0.916304834999616
30,1809,0.911659003699193
30,73344,0.909485586016631
30,2731,0.908042721857217
30,26052,0.906500331987764
31,49910,0.944490773616473
31,5873,0.93052932779061
31,4616,0.92977760394073
31,4019,0.926528726886591
31,31225,0.924801647269564
32,70286,0.91369618181898
32,4878,0.881271423283893
32,68237,0.880820526990688
32,114935,0.876337969589185
32,113741,0.872162577688737
34,1012,0.927397035917168
34,241,0.917273085861514
34,3189,0.914499072504054
34,1026,0.902278162458839
34,6427,0.890958098414489
35,202,0.922292524374473
35,3094,0.917143195399529
35,1683,0.915420131404822
35,8667,0.913391126348626
35,61075,0.912952351371574
36,7160,0.936377803017223
36,2329,0.92956682255727
36,6852,0.927276004129297
36,59995,0.927162082115082
36,3147,0.925390013318152
37,1797,0.914267925052921
37,4453,0.863133671854807
37,4459,0.839593157787042
37,4861,0.834955971584331
37,4458,0.834220716196088
38,6338,0.924008314009503
38,1021,0.906670928963453
38,7161,0.904166608980544
38,575,0.8985490363436
38,87,0.897850237508189
39,2572,0.954771287676538
39,80549,0.945299448325485
39,2144,0.942905017389478
39,2485,0.939948563990496
39,4091,0.939138478742241
40,8010,0.937419950142507
40,4095,0.915481325013414
40,41226,0.910192357241796
40,650,0.907949174788843
40,3271,0.90636355166282
41,25901,0.922554841766322
41,1217,0.891298506227151
41,3742,0.885944818330157
41,2075,0.885741426263535
41,47894,0.882204339346386
42,493,0.923163146985341
42,4488,0.923022275933259
42,49314,0.906074701471366
42,6977,0.905860334637187
42,120783,0.902129844845342
43,55274,0.930651164354451
43,2336,0.927000154605296
43,8191,0.926525560869735
43,2563,0.917631237007821
43,650,0.915770566686774
44,393,0.950365663641166
44,1681,0.946523948632831
44,57326,0.90645547188161
44,122890,0.900642725048174
44,78893,0.89564376460464
45,319,0.899306704189138
45,41716,0.880336161915119
45,116897,0.87797907839574
45,5416,0.873836262750568
45,91128,0.862903218101827
46,105,0.937265484867988
46,2154,0.927918229024049
46,2443,0.923562323675069
46,2269,0.918398400122646
46,3194,0.918265714464729
47,4226,0.959551278006486
47,27773,0.950700058102
47,904,0.937136415091601
47,5712,0.923510222189367
47,108729,0.909683881206161
48,783,0.933995776590637
48,1029,0.869169728222884
48,1907,0.866279058068159
48,1688,0.856501597038355
48,2081,0.847320639667298
49,461,0.921807653538744
49,1502,0.915821240662852
49,7010,0.914687974321544
49,133645,0.911154426644794
49,3855,0.90552139409443
